ticker,yearReport,lengthReport,Minority Interest,symbol,report,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Investment in joint ventures,Investments in associate companies,Less: Provision for diminuation in value of long term investments,Tangible fixed assets,Intagible fixed assets,Other Assets,Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,Capital,Reserves,Foreign Currency Difference reserve,Difference upon Assets Revaluation,Other Reserves,Convertible bonds (Bn. VND),Leased assets
HPG,2025,4,,HPG,balance_sheet,103682043127964.0,8300890304205.0,19484412761405.0,15064703713293.0,52828227344442.0,8003809004619.0,154239538285186.0,0.0,133608057859977.0,528191122247.0,2248000000000.0,0.0,6695070415682.0,257921581413150.0,126701570536575.0,94208648920111.0,32492921616464.0,131220010876575.0,131220010876575.0,51034812570467.0,0.0,2042101955279.0,257921581413150.0,1878084035938.0,0.0,52892273238885.0,0.0,1388437800829.0,76754658550000.0,76754658550000.0,27479194057074.0,862026330691.0,64694957245143.0,51513185419.0,6003368983150.0,0.0,248919079879.0,290327516308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2025,3,,HPG,balance_sheet,95425988115582.0,9092562739415.0,18903949054642.0,13727194725111.0,45623656431728.0,8078625164686.0,150745350172070.0,0.0,104711263391250.0,536668864862.0,300000000.0,0.0,5079772440151.0,246171338287652.0,118655326188383.0,83163272833172.0,35492053355211.0,127516012099269.0,127516012099269.0,47288178774368.0,0.0,2078333532773.0,246171338287652.0,4219935549920.0,65061616439.0,45675711221795.0,0.0,1394841242128.0,76754658550000.0,76754658550000.0,28356095137594.0,619205121131.0,68482383626253.0,52097751283.0,4390536576181.0,0.0,825562606009.0,849788287676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2025,2,,HPG,balance_sheet,97613904938535.0,10688024277258.0,17584027436423.0,12334925649801.0,48853408114115.0,8153519460938.0,144610625980515.0,0.0,65302976358571.0,544375244149.0,0.0,0.0,5041262109917.0,242224530919050.0,119865026005768.0,86427453449629.0,33437572556139.0,122359504913282.0,122359504913282.0,56176646414996.0,0.0,825515256158.0,242224530919050.0,2755989948090.0,97061616439.0,48900263257832.0,0.0,1394841242128.0,63962502000000.0,63962502000000.0,27312288660990.0,306667783670.0,66692028477152.0,57563156071.0,4338725174159.0,0.0,827053815447.0,900453913211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2025,1,,HPG,balance_sheet,88914195573724.0,7459035818129.0,16212510112252.0,10856053423195.0,46603844415849.0,7782751804299.0,139947392214583.0,0.0,85838135705767.0,552837241998.0,0.0,0.0,5015366006415.0,228861587788307.0,110864708699178.0,77298523955478.0,33566184743700.0,117996879089129.0,117996879089129.0,52943588928234.0,0.0,295946918767.0,228861587788307.0,2349213570061.0,89561616439.0,46713899534932.0,0.0,794841242128.0,63962502000000.0,63962502000000.0,27256965869238.0,570631436241.0,61784512821075.0,60588141397.0,4261916994097.0,0.0,848015622228.0,920743791614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2024,4,,HPG,balance_sheet,86674276272995.0,6887646139852.0,18974716730905.0,7647800286988.0,46091222189472.0,7072890925778.0,137815431280986.0,0.0,67428366953514.0,559598463093.0,136500000000.0,0.0,5016848415359.0,224489707553981.0,109842249570282.0,75225243262689.0,34617006307593.0,114647457983699.0,114647457983699.0,49599124109203.0,0.0,290990632368.0,224489707553981.0,2118824427004.0,87461616439.0,46192292081813.0,0.0,794841242128.0,63962502000000.0,63962502000000.0,27080443256096.0,739178306553.0,55882686213459.0,63613126723.0,4269141694868.0,0.0,840594835822.0,923400123614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2024,3,,HPG,balance_sheet,80841803394106.0,8500998079280.0,16386803148945.0,9140948029240.0,40197821463879.0,6615232672762.0,130544540534012.0,0.0,68475648874477.0,568026681070.0,136500000000.0,0.0,4642778670407.0,211386343928118.0,99607246691658.0,68995125104046.0,30612121587612.0,111779097236460.0,111779097236460.0,46809218886586.0,0.0,189176035910.0,211386343928118.0,2948440731905.0,318461616439.0,40480715224028.0,0.0,818200313964.0,63962502000000.0,63962502000000.0,24517626484538.0,440576623880.0,54180722680952.0,66834062714.0,4347213561931.0,0.0,841682562478.0,1031145036427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2024,2,,HPG,balance_sheet,84466831221789.0,13032037853283.0,15314673148945.0,10392801855660.0,40163540620593.0,5563777743308.0,122142248509406.0,0.0,70018632033341.0,576450457500.0,136500000000.0,0.0,4874209747069.0,206609079731195.0,97932514837164.0,73551241248845.0,24381273588319.0,108676564894031.0,108676564894031.0,43793278849369.0,0.0,102583730698.0,206609079731195.0,2112090222977.0,237461616439.0,40454441094217.0,0.0,818200313964.0,63962502000000.0,63962502000000.0,19674955314582.0,482276831033.0,53315313650059.0,69859048040.0,4612526104983.0,0.0,850381710697.0,1119456422036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2024,1,,HPG,balance_sheet,94032457790196.0,12428888036237.0,22271418573603.0,12105116296231.0,42714279935957.0,4512754948168.0,107907767738311.0,95351026613.0,71016027599296.0,585122402410.0,0.0,0.0,4817528271885.0,201940225528507.0,96315644955419.0,79314487942852.0,17001157012567.0,105624580573088.0,105624580573088.0,43342850291239.0,0.0,104112551615.0,201940225528507.0,3486349652033.0,238584417297.0,42846344041978.0,0.0,818200313964.0,58147857000000.0,58147857000000.0,16080142067527.0,340776685682.0,61438295764670.0,72884033366.0,4558305203235.0,0.0,777913997306.0,1313739979740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2023,4,,HPG,balance_sheet,82716439173043.0,12267401160884.0,22161903502481.0,10702136439996.0,34504487406261.0,3080510663421.0,105066147390758.0,95351026613.0,72014494381617.0,593920277320.0,40000000000.0,0.0,4454004867718.0,187782586563801.0,84946167324422.0,71513492904733.0,13432674419689.0,102836419239379.0,102836419239379.0,40593031662656.0,0.0,65769846489.0,187782586563801.0,2583940446585.0,203600000000.0,34628367844950.0,0.0,818200313964.0,58147857000000.0,58147857000000.0,10399119292481.0,741733890580.0,54981883180636.0,75909018692.0,4215007972679.0,0.0,781079548004.0,1880922130348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2023,3,,HPG,balance_sheet,78482566275784.0,9696669423876.0,19957222511116.0,12506103872593.0,33524022785325.0,2798547682874.0,95024445408788.0,95693561714.0,72782298055573.0,602718152230.0,40000000000.0,0.0,4241703068971.0,173507011684572.0,73641823428128.0,64117126047962.0,9524697380166.0,99865188256444.0,99865188256444.0,37637957599031.0,0.0,72040463743.0,173507011684572.0,6382755770441.0,204293835516.0,33797441007167.0,0.0,819978707993.0,58147857000000.0,58147857000000.0,8744590378258.0,440272925867.0,49237590969260.0,78934004018.0,3940414512830.0,0.0,797360888746.0,893054450460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2023,2,,HPG,balance_sheet,84903568227057.0,13252855086239.0,22848207160936.0,14298660297800.0,32001578654651.0,2502267027431.0,91339753512384.0,101693561714.0,68933857375679.0,611516027140.0,700000000.0,0.0,4279545205102.0,176243321739441.0,78383030678319.0,68684638366804.0,9698392311515.0,97860291061122.0,97860291061122.0,35628765721538.0,0.0,77020576327.0,176243321739441.0,7165317196380.0,198994978279.0,32260969330532.0,0.0,823554378850.0,58147857000000.0,58147857000000.0,8878939971816.0,474991364466.0,51748268155863.0,81958989344.0,4015522196267.0,700000000.0,797215116297.0,898908678011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
