ticker,yearReport,lengthReport,symbol,report,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Dividends received,Profits from other activities,Net Cash Flows from Operating Activities before BIT,Payment from reserves,_Increase/Decrease in receivables,_Increase/Decrease in payables,Profit/Loss from disposal of fixed assets
HPG,2025,4,HPG,cash_flow,4600129962763.0,2880256335134.0,-12074483403.0,-35220362754.0,-281984281948.0,1236524775157.0,0.0,8387631944949.0,-1403497211436.0,-7583748082136.0,10350627399383.0,-1244717670095.0,-1141038329401.0,-282306399420.0,0.0,-190617586065.0,6892334065779.0,-1887091347750.0,18257186795.0,-9695300000000.0,6932197909676.0,283000000000.0,1155000000000.0,228988019229.0,-2964948232050.0,79502500000.0,-118003000000.0,36975131444340.0,-41639269223267.0,0.0,-15745683917.0,-4718383962844.0,-790998129115.0,9092562739415.0,-674306095.0,8300890304205.0,,,,,,,
HPG,2025,3,HPG,cash_flow,4628313172434.0,2169156032825.0,10882237428.0,-56814712069.0,-454485515064.0,812194101705.0,0.0,7109245317259.0,-167609437136.0,3191714046698.0,-812631275870.0,-253644124207.0,-667863337041.0,-36294935712.0,0.0,-68517258315.0,8294398995676.0,-13174576334243.0,3219518312.0,-5995439000000.0,4707217381781.0,-70900000000.0,209046191384.0,383190902192.0,-13938241340574.0,1260500000000.0,-40275000000.0,37526149069159.0,-34691683779555.0,0.0,-7647585893.0,4047042703711.0,-1596799641187.0,10688024277258.0,1338103344.0,9092562739415.0,,,,,,,
HPG,2025,2,HPG,cash_flow,4972383493663.0,1617247528510.0,-59927342891.0,309920317236.0,-305813548010.0,439112631420.0,0.0,6972923079928.0,-1835418390802.0,-2468299455608.0,1394149750385.0,-230901936807.0,-473975259473.0,-5880614099.0,0.0,-67494643569.0,3285102529955.0,-4519331143893.0,27600517030.0,-9102740296773.0,7723722972602.0,0.0,15000000000.0,315786623119.0,-5539961327915.0,525100000000.0,-52020000.0,37133314442108.0,-32170574605521.0,0.0,-3574672793.0,5484213143794.0,3229354345834.0,7459035818129.0,-365886705.0,10688024277258.0,,,,,,,
HPG,2025,1,HPG,cash_flow,3839765349020.0,1801603135468.0,11289113084.0,132616469869.0,-244726801802.0,627024360692.0,0.0,6167571626331.0,-4134982417163.0,-384608710947.0,-1984736525485.0,48974724977.0,-599757525250.0,-1670270526989.0,0.0,-220131091954.0,-2777940446480.0,-6168853176586.0,8330267880.0,-5526332899179.0,8422939517832.0,0.0,226687184000.0,308719460282.0,-2728509645771.0,100000000.0,0.0,42070537735752.0,-35992323059515.0,0.0,-22127134.0,6078292549103.0,571842456852.0,6887646139852.0,-452778575.0,7459035818129.0,,,,,,,
HPG,2024,4,HPG,cash_flow,3286676100696.0,1693028331093.0,-61035121811.0,227751228845.0,-765370789609.0,562492663846.0,0.0,4955838305029.0,971968926351.0,-6209983876378.0,4023222874211.0,129299221688.0,-529644932828.0,-51647870077.0,447272727.0,-194420019511.0,3095079901212.0,-7257089099480.0,443699573180.0,-6360476824332.0,3871936250811.0,0.0,31246619001.0,187519990129.0,-9083163490691.0,103000000000.0,-17140000.0,42414841815225.0,-38146312226161.0,0.0,-2343960741.0,4369168488323.0,-1618915101156.0,8500998079280.0,5563161728.0,6887646139852.0,,,,,,,
HPG,2024,3,HPG,cash_flow,3412385133844.0,1771185761423.0,-3156807492.0,-206784225956.0,103011663888.0,525114798901.0,0.0,5595706353956.0,377494427161.0,-3510769453171.0,-1584866701776.0,46606159449.0,-567728987154.0,-12405917246.0,0.0,-79428476117.0,264607405102.0,-9401555834547.0,-332578559029.0,-6770711616439.0,5612320000000.0,0.0,0.0,305754643259.0,-10586771366756.0,90136000000.0,0.0,45987162684520.0,-40276725834290.0,0.0,-1606676054.0,5798966174176.0,-4523197787478.0,13032037853283.0,-7841986525.0,8500998079280.0,,,,,,,
HPG,2024,2,HPG,cash_flow,3733225669765.0,1729640974153.0,162022519725.0,-30290605919.0,406339912654.0,564134360513.0,0.0,6571122801543.0,-618194847084.0,811031696508.0,-3565852264665.0,46814900835.0,-613526452453.0,-23605606592.0,0.0,-107787269936.0,2500002958156.0,-4038554034033.0,2758324845.0,-6908419972602.0,13728665397260.0,0.0,0.0,-278698869753.0,2505750845717.0,0.0,-2420000.0,41954146315610.0,-46356254460746.0,0.0,-1658737650.0,-4403769302786.0,601984501087.0,12428888036237.0,1165315959.0,13032037853283.0,,,,,,,
HPG,2024,1,HPG,cash_flow,3261215356873.0,1721816264528.0,10669816792.0,182794183008.0,-1462291190778.0,635618987620.0,0.0,4349823418043.0,-2549940352860.0,-1850079271655.0,3121851473748.0,-450426491575.0,-621521923912.0,-849105119441.0,0.0,-401971341603.0,748630390745.0,-14797827829267.0,1139714227578.0,-8465849467273.0,8374734396151.0,0.0,0.0,1125274432093.0,-12623954240718.0,40000000000.0,-100000000.0,44109437021720.0,-32099643158043.0,0.0,638363554.0,12050332227231.0,175008377258.0,12252001160884.0,1878498095.0,12428888036237.0,,,,,,,
HPG,2023,4,HPG,cash_flow,3384568877748.0,1741097551767.0,-149104888269.0,-150012871876.0,33606206324.0,710943681004.0,0.0,5571098556698.0,-2360010541026.0,-897339146679.0,4060504082997.0,-14640876626.0,-734328822276.0,-116083513736.0,0.0,-98926312478.0,5410273426874.0,-7374116374071.0,151206936404.0,-12287268028348.0,9589411407600.0,0.0,-526054585230.0,72907729152.0,-10373912914493.0,200000000.0,-70560000.0,37040198581692.0,-29499317057488.0,0.0,-7623503418.0,7533387460786.0,2569747973167.0,9696669423876.0,983763841.0,12267401160884.0,,,,,,,
HPG,2023,3,HPG,cash_flow,2174230121892.0,1721774737926.0,15972161435.0,327203956815.0,700000000.0,855978191830.0,0.0,5089809199246.0,1302169808975.0,-1539457455806.0,-3179803871108.0,2482635158.0,-894619601392.0,-27416666170.0,0.0,-120152763848.0,633011285055.0,-4360794062575.0,43509632440.0,-7534337000000.0,10386022792583.0,0.0,0.0,188313343369.0,-1277285294183.0,0.0,-523080000.0,30104574327511.0,-33016730316247.0,0.0,-13172335.0,-2912692241071.0,-3556966250199.0,13252855086239.0,780587836.0,9696669423876.0,,,,,,,
