ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,symbol,report,Provision for credit losses,Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,Operating Profit before Provision,Tax For the Year,EPS_basis
HPG,2025,4,0.0,47301623136340.0,3860994446656.0,0.0,437336032419.0,-1236524775157.0,47301623136340.0,-1125138586569.0,46176484549771.0,-39779834052596.0,6396650497175.0,-1584024163714.0,0.0,-271477098154.0,-411044379459.0,4567440888267.0,115035838477.0,0.0,-82346763981.0,32689074496.0,4600129962763.0,-744749714238.0,32969484742.0,3888349733267.0,27355286611.0,3860994446656.0,HPG,income_statement,,,,,,,,,,,,,,,,,,
HPG,2025,3,0.0,36793873449413.0,3988318474539.0,0.0,711903358963.0,-812194101705.0,36793873449413.0,-386457045489.0,36407416403924.0,-30320155128758.0,6087261275166.0,-1073210620638.0,0.0,-798965987739.0,-355963309576.0,4571024716176.0,78007207531.0,0.0,-20718751273.0,57288456258.0,4628313172434.0,-632794091038.0,16733235327.0,4012252316723.0,23933842184.0,3988318474539.0,HPG,income_statement,,,,,,,,,,,,,,,,,,
HPG,2025,2,0.0,36286185846409.0,4256487211764.0,0.0,498183728007.0,-439112631420.0,36286185846409.0,-375666735200.0,35910519111209.0,-29320796625500.0,6589722485709.0,-979462100729.0,0.0,-825371907199.0,-322285873598.0,4960786332190.0,-41431471594.0,0.0,53028633067.0,11597161473.0,4972383493663.0,-684398735485.0,-23460652646.0,4264524105532.0,8036893768.0,4256487211764.0,HPG,income_statement,,,,,,,,,,,,,,,,,,
HPG,2025,1,0.0,37950635502050.0,3344284694388.0,0.0,438057240540.0,-627024360692.0,37950635502050.0,-328960948472.0,37621674553578.0,-32197520628446.0,5424153925132.0,-970569640998.0,0.0,-737815718816.0,-347243794856.0,3806582011002.0,153981783497.0,0.0,-120798445479.0,33183338018.0,3839765349020.0,-512281294123.0,22321361187.0,3349805416084.0,5520721696.0,3344284694388.0,HPG,income_statement,,,,,,,,,,,,,,,,,,
HPG,2024,4,0.0,35232197602514.0,2808645369171.0,0.0,700560102056.0,-562492663846.0,35232197602514.0,-741215175825.0,34490982426689.0,-30126073473488.0,4364908953201.0,-1015139809937.0,0.0,-230212058532.0,-517318083678.0,3302799103110.0,225300683318.0,0.0,-241423685732.0,-16123002414.0,3286676100696.0,-503217741562.0,26135956217.0,2809594315351.0,948946180.0,2808645369171.0,HPG,income_statement,,,,,,,,,,,,,,,,,,
HPG,2024,3,0.0,34300352057045.0,3022946632050.0,1.0,528453174917.0,-525114798901.0,34300352057045.0,-344091771518.0,33956260285527.0,-29225083561286.0,4731176724241.0,-832902574260.0,0.0,-720208188679.0,-321501544741.0,3385017591478.0,220917018524.0,0.0,-193549476158.0,27367542366.0,3412385133844.0,-427815885551.0,37102736610.0,3021671984903.0,-1274647147.0,3022946632050.0,HPG,income_statement,,,,,,,,,,,,,,,,,,
HPG,2024,2,0.0,39936268160790.0,3319263141862.0,1.0,645060096530.0,-564134360513.0,39936268160790.0,-380758333336.0,39555509827454.0,-34308029337809.0,5247480489645.0,-1065091915406.0,0.0,-746509647378.0,-389417899107.0,3691521124284.0,205176515397.0,0.0,-163471969916.0,41704545481.0,3733225669765.0,-419294315425.0,5643364205.0,3319574718545.0,311576683.0,3319263141862.0,HPG,income_statement,,,,,,,,,,,,,,,,,,
HPG,2024,1,0.0,31092569628223.0,2870588692991.0,6.0,751955374195.0,-635618987620.0,31092569628223.0,-240210036506.0,30852359591717.0,-26698376631120.0,4153982960597.0,-1060613282413.0,0.0,-640378790675.0,-317278495246.0,2887667766458.0,508375467854.0,0.0,-134827877439.0,373547590415.0,3261215356873.0,-415478064702.0,23445310301.0,2869182602472.0,-1406090519.0,2870588692991.0,HPG,income_statement,,,,,,,,,,,,,,,,,,
HPG,2023,4,0.0,34924567919473.0,2972779359274.0,2.0,732316277875.0,-710943681004.0,34924567919473.0,-540762991718.0,34383804927755.0,-29912194884366.0,4471610043389.0,-1127386435227.0,0.0,-366721269183.0,-394171267892.0,3315647348962.0,231710831608.0,0.0,-162789302822.0,68921528786.0,3384568877748.0,-356399560815.0,-59198534048.0,2968970782885.0,-3808576389.0,2972779359274.0,HPG,income_statement,,,,,,,,,,,,,,,,,,
HPG,2023,3,0.0,28765716456234.0,2004745086782.0,2.0,850624544181.0,-855978191830.0,28765716456234.0,-281628655637.0,28484087800597.0,-24889281213593.0,3594806587004.0,-1438378265232.0,0.0,-577844331409.0,-301003551619.0,2128204982925.0,203224277209.0,0.0,-157199138242.0,46025138967.0,2174230121892.0,-214353855084.0,40486817524.0,2000363084332.0,-4382002450.0,2004745086782.0,HPG,income_statement,,,,,,,,,,,,,,,,,,
