ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,symbol,report,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,Operating Profit before Provision,Tax For the Year,EPS_basis,Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Investment in joint ventures,Investments in associate companies,Less: Provision for diminuation in value of long term investments,Tangible fixed assets,Intagible fixed assets,Other Assets,Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,Capital,Reserves,Foreign Currency Difference reserve,Difference upon Assets Revaluation,Other Reserves,Profits from other activities,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Convertible bonds (Bn. VND),_Increase/Decrease in receivables,_Increase/Decrease in payables,Profit/Loss from disposal of fixed assets,Leased assets
HPG,2025,4,0,47301623136340,3860994446656,0,437336032419,-1236524775157,47301623136340,-1125138586569,46176484549771,-39779834052596,6396650497175,-1584024163714,0,-271477098154,-411044379459,4567440888267,115035838477,0,-82346763981,32689074496,4600129962763,-744749714238,32969484742,3888349733267,27355286611,3860994446656,HPG,income_statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2025,3,0,36793873449413,3988318474539,0,711903358963,-812194101705,36793873449413,-386457045489,36407416403924,-30320155128758,6087261275166,-1073210620638,0,-798965987739,-355963309576,4571024716176,78007207531,0,-20718751273,57288456258,4628313172434,-632794091038,16733235327,4012252316723,23933842184,3988318474539,HPG,income_statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2025,2,-0,36286185846409,4256487211764,0,498183728007,-439112631420,36286185846409,-375666735200,35910519111209,-29320796625500,6589722485709,-979462100729,0,-825371907199,-322285873598,4960786332190,-41431471594,0,53028633067,11597161473,4972383493663,-684398735485,-23460652646,4264524105532,8036893768,4256487211764,HPG,income_statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2025,1,0,37950635502050,3344284694388,0,438057240540,-627024360692,37950635502050,-328960948472,37621674553578,-32197520628446,5424153925132,-970569640998,0,-737815718816,-347243794856,3806582011002,153981783497,0,-120798445479,33183338018,3839765349020,-512281294123,22321361187,3349805416084,5520721696,3344284694388,HPG,income_statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2024,4,0,35232197602514,2808645369171,-0,700560102056,-562492663846,35232197602514,-741215175825,34490982426689,-30126073473488,4364908953201,-1015139809937,0,-230212058532,-517318083678,3302799103110,225300683318,0,-241423685732,-16123002414,3286676100696,-503217741562,26135956217,2809594315351,948946180,2808645369171,HPG,income_statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2024,3,0,34300352057045,3022946632050,1,528453174917,-525114798901,34300352057045,-344091771518,33956260285527,-29225083561286,4731176724241,-832902574260,0,-720208188679,-321501544741,3385017591478,220917018524,0,-193549476158,27367542366,3412385133844,-427815885551,37102736610,3021671984903,-1274647147,3022946632050,HPG,income_statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2024,2,0,39936268160790,3319263141862,1,645060096530,-564134360513,39936268160790,-380758333336,39555509827454,-34308029337809,5247480489645,-1065091915406,0,-746509647378,-389417899107,3691521124284,205176515397,0,-163471969916,41704545481,3733225669765,-419294315425,5643364205,3319574718545,311576683,3319263141862,HPG,income_statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2024,1,0,31092569628223,2870588692991,6,751955374195,-635618987620,31092569628223,-240210036506,30852359591717,-26698376631120,4153982960597,-1060613282413,0,-640378790675,-317278495246,2887667766458,508375467854,0,-134827877439,373547590415,3261215356873,-415478064702,23445310301,2869182602472,-1406090519,2870588692991,HPG,income_statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2023,4,0,34924567919473,2972779359274,2,732316277875,-710943681004,34924567919473,-540762991718,34383804927755,-29912194884366,4471610043389,-1127386435227,0,-366721269183,-394171267892,3315647348962,231710831608,0,-162789302822,68921528786,3384568877748,-356399560815,-59198534048,2968970782885,-3808576389,2972779359274,HPG,income_statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2023,3,-0,28765716456234,2004745086782,2,850624544181,-855978191830,28765716456234,-281628655637,28484087800597,-24889281213593,3594806587004,-1438378265232,0,-577844331409,-301003551619,2128204982925,203224277209,0,-157199138242,46025138967,2174230121892,-214353855084,40486817524,2000363084332,-4382002450,2004745086782,HPG,income_statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
